time,cumulativeEmpty,cumulativeBatchingIdleReward,batchingIdleTime,batchingIdleFraction
26.5,1.65,27.8,13.9,0.5245283018867924528301886792452830
26.6,1.65,27.8,13.9,0.5225563909774436090225563909774436
26.7,1.65,27.8,13.9,0.5205992509363295880149812734082397
26.8,1.65,27.8,13.9,0.5186567164179104477611940298507463
26.9,1.65,27.8,13.9,0.5167286245353159851301115241635688
27.0,1.65,27.8,13.9,0.5148148148148148148148148148148148
27.1,1.65,27.8,13.9,0.5129151291512915129151291512915129
27.2,1.65,27.8,13.9,0.5110294117647058823529411764705882
27.3,1.65,27.8,13.9,0.5091575091575091575091575091575092
27.4,1.65,27.8,13.9,0.5072992700729927007299270072992701
27.5,1.65,27.8,13.9,0.5054545454545454545454545454545455
27.6,1.65,27.8,13.9,0.5036231884057971014492753623188406
27.7,1.65,27.8,13.9,0.5018050541516245487364620938628159
27.8,1.65,27.8,13.9,0.5
27.9,1.65,27.8,13.9,0.4982078853046594982078853046594982
28.0,1.65,27.8,13.9,0.4964285714285714285714285714285714
28.1,1.65,27.8,13.9,0.4946619217081850533807829181494662
28.2,1.65,27.8,13.9,0.4929078014184397163120567375886525
28.3,1.65,27.8,13.9,0.4911660777385159010600706713780919
28.4,1.65,27.8,13.9,0.4894366197183098591549295774647887
28.5,1.65,27.8,13.9,0.4877192982456140350877192982456140
28.6,1.65,27.8,13.9,0.4860139860139860139860139860139860
28.7,1.65,27.8,13.9,0.4843205574912891986062717770034843
28.8,1.65,27.8,13.9,0.4826388888888888888888888888888889
28.9,1.65,27.8,13.9,0.4809688581314878892733564013840830
29.0,1.65,27.8,13.9,0.4793103448275862068965517241379310
29.1,1.65,27.8,13.9,0.4776632302405498281786941580756014
29.2,1.65,27.8,13.9,0.4760273972602739726027397260273973
29.3,1.65,27.8,13.9,0.4744027303754266211604095563139932
29.4,1.65,27.8,13.9,0.4727891156462585034013605442176871
29.5,1.65,27.8,13.9,0.4711864406779661016949152542372881
29.6,1.65,27.8,13.9,0.4695945945945945945945945945945946
29.7,1.65,27.8,13.9,0.4680134680134680134680134680134680
29.8,1.65,27.8,13.9,0.4664429530201342281879194630872483
29.9,1.65,27.8,13.9,0.4648829431438127090301003344481605
30.0,1.65,27.8,13.9,0.4633333333333333333333333333333333
30.1,1.65,27.8,13.9,0.4617940199335548172757475083056478
30.2,1.65,27.8,13.9,0.4602649006622516556291390728476821
30.3,1.65,27.8,13.9,0.4587458745874587458745874587458746
30.4,1.65,27.8,13.9,0.4572368421052631578947368421052632
30.5,1.65,27.8,13.9,0.4557377049180327868852459016393443
30.6,1.65,27.8,13.9,0.4542483660130718954248366013071895
30.7,1.65,27.8,13.9,0.4527687296416938110749185667752443
30.8,1.65,27.8,13.9,0.4512987012987012987012987012987013
30.9,1.65,27.8,13.9,0.4498381877022653721682847896440129
31.0,1.65,27.8,13.9,0.4483870967741935483870967741935484
31.1,1.65,27.8,13.9,0.4469453376205787781350482315112540
31.2,1.65,27.8,13.9,0.4455128205128205128205128205128205
31.3,1.65,27.8,13.9,0.4440894568690095846645367412140575
31.4,1.65,27.8,13.9,0.4426751592356687898089171974522293
31.5,1.65,27.8,13.9,0.4412698412698412698412698412698413
31.6,1.65,27.8,13.9,0.4398734177215189873417721518987342
31.7,1.65,27.8,13.9,0.4384858044164037854889589905362776
31.8,1.65,27.8,13.9,0.4371069182389937106918238993710692
31.9,1.65,27.8,13.9,0.4357366771159874608150470219435737
32.0,1.65,27.8,13.9,0.434375
32.1,1.65,27.8,13.9,0.4330218068535825545171339563862928
32.2,1.65,27.8,13.9,0.4316770186335403726708074534161491
32.3,1.65,27.8,13.9,0.4303405572755417956656346749226006
32.4,1.65,27.8,13.9,0.4290123456790123456790123456790123
32.5,1.65,27.8,13.9,0.4276923076923076923076923076923077
32.6,1.65,27.8,13.9,0.4263803680981595092024539877300613
32.7,1.65,27.8,13.9,0.4250764525993883792048929663608563
32.8,1.65,27.8,13.9,0.4237804878048780487804878048780488
32.9,1.65,27.8,13.9,0.4224924012158054711246200607902736
33.0,1.65,27.8,13.9,0.4212121212121212121212121212121212
33.1,1.65,27.8,13.9,0.4199395770392749244712990936555891
33.2,1.65,27.8,13.9,0.4186746987951807228915662650602410
33.3,1.65,27.8,13.9,0.4174174174174174174174174174174174
33.4,1.70,27.8,13.9,0.4161676646706586826347305389221557
33.5,1.80,27.8,13.9,0.4149253731343283582089552238805970
33.6,1.90,27.8,13.9,0.4136904761904761904761904761904762
33.7,2.00,27.8,13.9,0.4124629080118694362017804154302671
33.8,2.10,27.8,13.9,0.4112426035502958579881656804733728
33.9,2.20,27.8,13.9,0.4100294985250737463126843657817109
34.0,2.30,27.8,13.9,0.4088235294117647058823529411764706
34.1,2.40,27.8,13.9,0.4076246334310850439882697947214076
34.2,2.50,27.8,13.9,0.4064327485380116959064327485380117
34.3,2.60,27.8,13.9,0.4052478134110787172011661807580175
34.4,2.70,27.8,13.9,0.4040697674418604651162790697674419
34.5,2.80,27.8,13.9,0.4028985507246376811594202898550725
34.6,2.90,27.8,13.9,0.4017341040462427745664739884393064
34.7,3.00,27.8,13.9,0.4005763688760806916426512968299712
34.8,3.10,27.8,13.9,0.3994252873563218390804597701149425
34.9,3.15,27.8,13.9,0.3982808022922636103151862464183381
35.0,3.15,27.8,13.9,0.3971428571428571428571428571428571
35.1,3.15,27.8,13.9,0.3960113960113960113960113960113960
35.2,3.15,27.8,13.9,0.3948863636363636363636363636363636
35.3,3.15,27.8,13.9,0.3937677053824362606232294617563739
35.4,3.15,27.8,13.9,0.3926553672316384180790960451977401
35.5,3.15,27.8,13.9,0.3915492957746478873239436619718310
35.6,3.15,27.8,13.9,0.3904494382022471910112359550561798
35.7,3.15,27.8,13.9,0.3893557422969187675070028011204482
35.8,3.15,27.8,13.9,0.3882681564245810055865921787709497
35.9,3.15,27.8,13.9,0.3871866295264623955431754874651811
36.0,3.15,27.8,13.9,0.3861111111111111111111111111111111
36.1,3.15,27.8,13.9,0.3850415512465373961218836565096953
36.2,3.15,27.8,13.9,0.3839779005524861878453038674033149
36.3,3.15,27.8,13.9,0.3829201101928374655647382920110193
36.4,3.15,27.8,13.9,0.3818681318681318681318681318681319
36.5,3.15,27.8,13.9,0.3808219178082191780821917808219178
36.6,3.15,27.8,13.9,0.3797814207650273224043715846994536
36.7,3.15,27.8,13.9,0.3787465940054495912806539509536785
36.8,3.15,27.8,13.9,0.3777173913043478260869565217391304
36.9,3.15,27.8,13.9,0.3766937669376693766937669376693767
37.0,3.15,27.8,13.9,0.3756756756756756756756756756756757
37.1,3.15,27.8,13.9,0.3746630727762803234501347708894879
37.2,3.15,27.8,13.9,0.3736559139784946236559139784946237
37.3,3.15,27.8,13.9,0.3726541554959785522788203753351206
37.4,3.15,27.8,13.9,0.3716577540106951871657754010695187
37.5,3.15,27.8,13.9,0.3706666666666666666666666666666667
37.6,3.15,27.8,13.9,0.3696808510638297872340425531914894
37.7,3.15,27.8,13.9,0.3687002652519893899204244031830239
37.8,3.15,27.8,13.9,0.3677248677248677248677248677248677
37.9,3.15,27.8,13.9,0.3667546174142480211081794195250660
38.0,3.15,27.8,13.9,0.3657894736842105263157894736842105
38.1,3.15,27.8,13.9,0.3648293963254593175853018372703412
38.2,3.15,27.8,13.9,0.3638743455497382198952879581151832
38.3,3.15,27.8,13.9,0.3629242819843342036553524804177546
38.4,3.15,27.8,13.9,0.3619791666666666666666666666666667
38.5,3.15,27.8,13.9,0.3610389610389610389610389610389610
38.6,3.15,27.8,13.9,0.3601036269430051813471502590673575
38.7,3.15,27.8,13.9,0.3591731266149870801033591731266150
38.8,3.15,27.8,13.9,0.3582474226804123711340206185567010
38.9,3.15,27.8,13.9,0.3573264781491002570694087403598972
39.0,3.15,27.8,13.9,0.3564102564102564102564102564102564
39.1,3.15,27.8,13.9,0.3554987212276214833759590792838875
39.2,3.15,27.8,13.9,0.3545918367346938775510204081632653
39.3,3.15,27.8,13.9,0.3536895674300254452926208651399491
39.4,3.15,27.8,13.9,0.3527918781725888324873096446700508
39.5,3.15,27.8,13.9,0.3518987341772151898734177215189873
39.6,3.15,27.8,13.9,0.3510101010101010101010101010101010
39.7,3.15,27.8,13.9,0.3501259445843828715365239294710327
39.8,3.15,27.8,13.9,0.3492462311557788944723618090452261
39.9,3.15,27.8,13.9,0.3483709273182957393483709273182957
40.0,3.15,27.8,13.9,0.3475
40.1,3.15,27.8,13.9,0.3466334164588528678304239401496259
40.2,3.15,27.8,13.9,0.3457711442786069651741293532338308
40.3,3.15,27.8,13.9,0.3449131513647642679900744416873449
40.4,3.15,27.8,13.9,0.3440594059405940594059405940594059
40.5,3.15,27.8,13.9,0.3432098765432098765432098765432099
40.6,3.15,27.8,13.9,0.3423645320197044334975369458128079
40.7,3.15,27.8,13.9,0.3415233415233415233415233415233415
40.8,3.15,27.8,13.9,0.3406862745098039215686274509803922
40.9,3.15,27.8,13.9,0.3398533007334963325183374083129584
41.0,3.15,27.8,13.9,0.3390243902439024390243902439024390
41.1,3.15,27.8,13.9,0.3381995133819951338199513381995134
41.2,3.15,27.8,13.9,0.3373786407766990291262135922330097
41.3,3.15,27.8,13.9,0.3365617433414043583535108958837772
41.4,3.15,27.8,13.9,0.3357487922705314009661835748792271
41.5,3.15,27.8,13.9,0.3349397590361445783132530120481928
41.6,3.15,27.8,13.9,0.3341346153846153846153846153846154
41.7,3.15,27.8,13.9,0.3333333333333333333333333333333333
41.8,3.15,27.8,13.9,0.3325358851674641148325358851674641
41.9,3.15,27.8,13.9,0.3317422434367541766109785202863962
42.0,3.15,27.8,13.9,0.3309523809523809523809523809523810
42.1,3.15,27.8,13.9,0.3301662707838479809976247030878860
42.2,3.15,27.8,13.9,0.3293838862559241706161137440758294
42.3,3.15,27.8,13.9,0.3286052009456264775413711583924350
42.4,3.15,27.8,13.9,0.3278301886792452830188679245283019
42.5,3.15,27.8,13.9,0.3270588235294117647058823529411765
42.6,3.15,27.8,13.9,0.3262910798122065727699530516431925
42.7,3.15,27.8,13.9,0.3255269320843091334894613583138173
42.8,3.15,27.8,13.9,0.3247663551401869158878504672897196
42.9,3.15,27.8,13.9,0.3240093240093240093240093240093240
43.0,3.15,27.8,13.9,0.3232558139534883720930232558139535
43.1,3.15,27.8,13.9,0.3225058004640371229698375870069606
43.2,3.15,27.8,13.9,0.3217592592592592592592592592592593
43.3,3.15,27.8,13.9,0.3210161662817551963048498845265589
43.4,3.15,27.8,13.9,0.3202764976958525345622119815668203
43.5,3.15,27.8,13.9,0.3195402298850574712643678160919540
43.6,3.15,27.8,13.9,0.3188073394495412844036697247706422
43.7,3.15,27.8,13.9,0.3180778032036613272311212814645309
43.8,3.15,27.8,13.9,0.3173515981735159817351598173515982
43.9,3.15,27.8,13.9,0.3166287015945330296127562642369021
44.0,3.15,27.8,13.9,0.3159090909090909090909090909090909
44.1,3.15,27.8,13.9,0.3151927437641723356009070294784580
44.2,3.15,27.8,13.9,0.3144796380090497737556561085972851
44.3,3.15,27.8,13.9,0.3137697516930022573363431151241535
44.4,3.15,27.8,13.9,0.3130630630630630630630630630630631
44.5,3.15,27.8,13.9,0.3123595505617977528089887640449438
44.6,3.15,27.8,13.9,0.3116591928251121076233183856502242
44.7,3.15,27.8,13.9,0.3109619686800894854586129753914989
44.8,3.15,27.8,13.9,0.3102678571428571428571428571428571
44.9,3.15,27.8,13.9,0.3095768374164810690423162583518931
